Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,2496,2000,1561,0,1746522770469,1746522770523,10173811,7940921,0
2,0,1357,2000,757,1024,1746522775467,1746522775537,20176751,7628989,10340636
3,0,1828,2000,1056,697,1746522780474,1746522780543,26308801,12615531,10503622
4,0,3094,2000,851,938,1746522785475,1746522785547,28418893,9372647,16629307
5,0,5058,2000,1517,0,1746522790486,1746522790540,17810430,13509274,0
6,0,4865,2000,913,801,1746522795483,1746522795548,35442917,12692632,18774259
7,0,7419,2000,1506,36,1746522800484,1746522800552,36311373,27083240,972286
8,0,9711,2000,731,1058,1746522805482,1746522805551,47109986,11567121,32203862
9,0,11386,2000,1164,492,1746522810484,1746522810554,46990473,24202136,15635844
10,0,11820,2000,1550,0,1746522815490,1746522815558,39803080,30895856,0
11,0,14325,2000,668,1122,1746522820495,1746522820563,63876845,15178813,43926281
12,0,16109,2000,1554,0,1746522825485,1746522825551,55386556,43035301,0
13,0,16821,2000,877,869,1746522830490,1746522830558,77579168,26815962,42935483
14,0,19192,2000,1551,0,1746522835484,1746522835564,59264897,45959901,0
15,0,19214,2000,939,773,1746522840489,1746522840533,84908433,32474254,42474073
16,0,21242,2000,779,1019,1746522845494,1746522845543,96969993,29956350,59219479
17,0,20394,2000,1570,0,1746522850487,1746522850543,73014892,57316664,0
18,0,19024,2000,1125,509,1746522855493,1746522855550,97290644,46680875,35422856
19,0,17448,2000,1297,325,1746522860502,1746522860558,87210835,52493972,19396101
20,0,16312,2000,976,747,1746522865497,1746522865553,109956607,42379070,55549708
21,0,14736,2000,1243,313,1746522870496,1746522870548,101011147,59571685,20246065
22,0,13521,2000,967,742,1746522875507,1746522875563,117877510,43851700,60829482
23,0,12150,2000,1547,0,1746522880494,1746522880544,100621634,77831040,0
24,0,10865,2000,976,742,1746522885495,1746522885549,127950922,53696534,58716949
25,0,9577,2000,854,922,1746522890501,1746522890563,136653081,44612300,80339302
26,0,8411,2000,1557,0,1746522895497,1746522895545,114405542,89064572,0
27,0,6960,2000,328,1567,1746522900523,1746522900569,171838442,20405693,144900431
28,0,5321,2000,0,2000,1746522905510,1746522905562,198911155,0,198911155
29,0,3635,2000,0,2000,1746522910508,1746522910558,197623098,0,197623098
30,0,2061,2000,0,2000,1746522915510,1746522915547,192425203,0,192425203
31,0,544,2000,0,2000,1746522920514,1746522920577,206110163,0,206110163
32,0,0,544,0,544,1746522925471,1746522925531,56246445,0,56246445
33,0,494,121,0,121,1746522930455,1746522930524,13113938,0,13113938
34,0,450,494,0,494,1746522935471,1746522935524,56007781,0,56007781
35,0,305,450,0,450,1746522940469,1746522940518,52627148,0,52627148
36,0,0,305,0,305,1746522945461,1746522945510,35167271,0,35167271
37,0,108,510,0,510,1746522950470,1746522950518,61346853,0,61346853
38,0,0,108,0,108,1746522955457,1746522955495,13527726,0,13527726
39,0,0,465,0,465,1746522960466,1746522960520,60572782,0,60572782
40,0,507,496,0,496,1746522965471,1746522965526,63480497,0,63480497
41,0,0,507,0,507,1746522970471,1746522970518,67028193,0,67028193
42,0,0,257,0,257,1746522975462,1746522975522,35261070,0,35261070
43,0,0,470,0,470,1746522980466,1746522980523,66825706,0,66825706
44,0,0,183,0,183,1746522985461,1746522985510,26928491,0,26928491
45,0,0,0,0,0,1746522990455,1746522990505,0,0,0
46,0,0,0,0,0,1746522995455,1746522995499,0,0,0
47,0,0,0,0,0,1746523000455,1746523000503,0,0,0
48,0,0,0,0,0,1746523005456,1746523005506,0,0,0
49,0,0,0,0,0,1746523010461,1746523010499,0,0,0
50,0,0,0,0,0,1746523015458,1746523015496,0,0,0
