Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,868,2000,1391,0,1746522770374,1746522770399,9930759,6906373,0
2,0,2295,2000,765,941,1746522775371,1746522775411,19920897,7612557,9382982
3,0,4346,2000,1001,627,1746522780374,1746522780410,29895461,14950479,9389015
4,0,5623,2000,756,830,1746522785376,1746522785411,32115070,10272420,16516903
5,0,6910,2000,1417,0,1746522790376,1746522790413,33717111,23888418,0
6,0,7887,2000,465,1378,1746522795372,1746522795411,46642412,8916802,34835786
7,0,10038,2000,1213,377,1746522800382,1746522800419,42341173,22786626,11852303
8,0,11841,2000,1043,612,1746522805375,1746522805419,50926231,24782854,17945940
9,0,13455,2000,702,1090,1746522810377,1746522810409,57951156,17664976,35040509
10,0,13624,2000,1362,165,1746522815385,1746522815424,53632784,34991185,6490380
11,0,15381,2000,980,711,1746522820388,1746522820435,68216620,30055845,28684188
12,0,16661,2000,1491,0,1746522825379,1746522825417,56511290,42137404,0
13,0,17604,2000,537,1285,1746522830388,1746522830423,85439348,17495958,62143934
14,0,19368,2000,1380,159,1746522835387,1746522835420,78975145,51827187,9834476
15,0,19526,2000,981,670,1746522840388,1746522840417,82113985,33837971,36237993
16,0,21160,2000,1104,545,1746522845388,1746522845422,93280616,43584633,35838795
17,0,20130,2000,908,807,1746522850387,1746522850418,101442938,39691976,49225204
18,0,19238,2000,896,800,1746522855388,1746522855418,97038000,37080444,47376588
19,0,17950,2000,1038,619,1746522860399,1746522860432,106008670,48141951,41958289
20,0,16552,2000,1385,211,1746522865396,1746522865438,94373045,62068648,14263201
21,0,15314,2000,674,1094,1746522870400,1746522870431,124603384,32547458,80852568
22,0,13992,2000,1215,396,1746522875394,1746522875426,118895235,62605516,36150039
23,0,12747,2000,1059,604,1746522880397,1746522880437,115450615,53180763,45346426
24,0,11570,2000,1030,632,1746522885395,1746522885427,122240982,56843034,46744549
25,0,10290,2000,938,719,1746522890398,1746522890428,141841778,53765161,68429307
26,0,9104,2000,1134,472,1746522895401,1746522895432,125805850,64748944,38560325
27,0,8083,2000,881,840,1746522900405,1746522900439,155074044,54698929,83052815
28,0,6477,2000,0,2000,1746522905402,1746522905438,197057833,0,197057833
29,0,4854,2000,0,2000,1746522910405,1746522910437,196777006,0,196777006
30,0,3185,2000,0,2000,1746522915400,1746522915431,197901173,0,197901173
31,0,1665,2000,0,2000,1746522920405,1746522920439,193258437,0,193258437
32,0,151,2000,0,2000,1746522925412,1746522925449,213836548,0,213836548
33,0,0,287,0,287,1746522930368,1746522930399,31069680,0,31069680
34,0,0,474,0,474,1746522935372,1746522935400,53681040,0,53681040
35,0,0,518,0,518,1746522940372,1746522940404,60503646,0,60503646
36,0,0,297,0,297,1746522945366,1746522945393,34209812,0,34209812
37,0,0,497,0,497,1746522950373,1746522950399,59723981,0,59723981
38,0,0,111,0,111,1746522955358,1746522955393,13892076,0,13892076
39,0,0,466,0,466,1746522960367,1746522960395,60644979,0,60644979
40,0,0,492,0,492,1746522965376,1746522965404,62887429,0,62887429
41,0,0,481,0,481,1746522970374,1746522970402,63534817,0,63534817
42,0,0,266,0,266,1746522975364,1746522975404,36464426,0,36464426
43,0,0,498,0,498,1746522980376,1746522980402,70746025,0,70746025
44,0,0,150,0,150,1746522985361,1746522985390,22054530,0,22054530
45,0,0,0,0,0,1746522990356,1746522990389,0,0,0
46,0,0,0,0,0,1746522995357,1746522995389,0,0,0
47,0,0,0,0,0,1746523000357,1746523000387,0,0,0
48,0,0,0,0,0,1746523005357,1746523005393,0,0,0
49,0,0,0,0,0,1746523010357,1746523010387,0,0,0
50,0,0,0,0,0,1746523015357,1746523015388,0,0,0
51,0,0,0,0,0,1746523020357,1746523020390,0,0,0
