Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,1544,2000,1463,0,1746522770436,1746522770457,10031162,7337871,0
2,0,7036,2000,812,888,1746522775438,1746522775476,20054330,8135777,8912964
3,0,9949,2000,1060,528,1746522780444,1746522780499,30065557,15923206,7953032
4,0,13883,2000,1491,0,1746522785446,1746522785501,31087976,22900808,0
5,0,16874,2000,1487,0,1746522790443,1746522790477,33897861,25202936,0
6,0,22178,2000,863,895,1746522795444,1746522795475,50942336,18933851,26699036
7,0,23075,2000,1440,0,1746522800452,1746522800493,53878792,38793116,0
8,0,25540,2000,1190,431,1746522805452,1746522805496,66927577,37990361,16837721
9,0,27554,2000,1040,634,1746522810458,1746522810494,75773585,38394434,25344026
10,0,33651,2000,1480,0,1746522815454,1746522815492,71662635,52880669,0
11,0,35633,2000,1219,369,1746522820454,1746522820510,80379635,47401457,16957841
12,0,38531,2000,1175,397,1746522825453,1746522825491,89823470,51515260,19543468
13,0,43131,2000,1462,0,1746522830459,1746522830502,90207302,65652819,0
14,0,45055,2000,369,1446,1746522835454,1746522835522,107326736,16901413,81951695
15,0,51310,2000,1505,0,1746522840454,1746522840483,101496971,76376315,0
16,0,53080,2000,1487,0,1746522845457,1746522845489,111492831,82894810,0
17,0,52066,2000,1544,0,1746522850454,1746522850487,121468715,93773799,0
18,0,51055,2000,926,687,1746522855457,1746522855508,129518221,55816605,50144636
19,0,49872,2000,450,1350,1746522860456,1746522860502,141359735,28202484,100622949
20,0,48877,2000,1379,103,1746522865458,1746522865518,136363960,93311717,8000731
21,0,47491,2000,728,902,1746522870458,1746522870506,154478496,52884809,74715761
22,0,46376,2000,1316,144,1746522875458,1746522875500,140326157,91572475,11179252
23,0,45164,2000,941,712,1746522880471,1746522880518,161820441,70177580,65764707
24,0,44136,2000,1159,400,1746522885459,1746522885517,159587262,92202358,32301585
25,0,42870,2000,1486,0,1746522890464,1746522890518,164529575,122277676,0
26,0,41591,2000,1490,0,1746522895460,1746522895511,162995602,121431673,0
27,0,40495,2000,880,852,1746522900466,1746522900501,192093958,76101178,92816469
28,0,38612,2000,1074,508,1746522905461,1746522905536,188921784,98267247,52408701
29,0,36612,2000,928,696,1746522910467,1746522910538,202355544,89536502,76541371
30,0,34612,2000,1340,162,1746522915463,1746522915511,199909588,132139816,19062635
31,0,32612,2000,1460,0,1746522920466,1746522920535,196793402,143659189,0
32,0,30612,2000,398,1494,1746522925478,1746522925551,235603171,41155858,183279404
33,0,28612,2000,1482,0,1746522930462,1746522930525,216752333,160613485,0
34,0,26612,2000,1483,0,1746522935461,1746522935511,223994610,166115637,0
35,0,24612,2000,896,733,1746522940462,1746522940518,239426143,98837155,99664766
36,0,22612,2000,1492,0,1746522945460,1746522945525,230590567,172020659,0
37,0,20612,2000,326,1509,1746522950463,1746522950519,272435609,39211226,213378251
38,0,18612,2000,1387,51,1746522955461,1746522955519,251765621,173739652,7628404
39,0,16612,2000,1510,0,1746522960459,1746522960536,246041286,185769427,0
40,0,14612,2000,1492,0,1746522965458,1746522965516,254407015,189787632,0
41,0,12612,2000,812,928,1746522970465,1746522970521,289732216,107347904,148012015
42,0,10612,2000,1455,0,1746522975468,1746522975534,274383897,199614347,0
43,0,8612,2000,496,1343,1746522980466,1746522980533,317029678,70517917,223621869
44,0,6612,2000,0,2000,1746522985467,1746522985527,341074261,0,341074261
45,0,4612,2000,0,2000,1746522990464,1746522990517,337304575,0,337304575
46,0,2612,2000,0,2000,1746522995464,1746522995518,332828213,0,332828213
47,0,612,2000,0,2000,1746523000462,1746523000522,330375404,0,330375404
48,0,0,612,0,612,1746523005441,1746523005487,102286091,0,102286091
49,0,0,0,0,0,1746523010423,1746523010448,0,0,0
50,0,0,0,0,0,1746523015424,1746523015450,0,0,0
51,0,0,0,0,0,1746523020425,1746523020450,0,0,0
