Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,1060,2000,1296,0,1745394680932,1745394680990,10126599,6528240,0
2,0,1733,2000,0,675,1745394685947,1745394686024,16415390,0,3004681
3,0,2145,2000,753,535,1745394690938,1745394691037,19023561,4500509,3764406
4,0,2459,2000,132,0,1745394695959,1745394696040,22058614,1448133,0
5,0,3353,2000,590,369,1745394700953,1745394701025,24134734,4041835,3454152
6,0,3783,2000,413,428,1745394705957,1745394706035,22626463,4896023,3912331
7,0,4397,2000,0,166,1745394710968,1745394711047,32665941,0,1662385
8,0,4529,2000,821,285,1745394715963,1745394716047,26928182,10467281,3345951
9,0,5545,2000,0,0,1745394720983,1745394721054,35604517,0,0
10,0,6433,2000,1130,481,1745394725943,1745394726033,31134411,15387050,6894709
11,0,7065,2000,31,203,1745394730967,1745394731035,36601593,576920,3042483
12,0,7518,2000,455,259,1745394735964,1745394736036,40907217,6601115,3894435
13,0,8304,2000,386,243,1745394740964,1745394741029,38967074,7525321,4618884
14,0,8934,2000,0,364,1745394745977,1745394746055,47293327,0,7115846
15,0,9652,2000,910,378,1745394750961,1745394751044,42202073,18560366,7370354
16,0,10523,2000,0,61,1745394755979,1745394756076,50621890,0,1221955
17,0,10503,2000,711,397,1745394760958,1745394761012,51723821,15106046,9508995
18,0,11057,2000,18,367,1745394765972,1745394766048,52137688,472968,9108709
19,0,9217,2000,173,251,1745394770980,1745394771066,59289903,3838755,6067296
20,0,7734,2000,885,243,1745394775964,1745394776035,53850977,24030940,6077478
21,0,5850,2000,0,146,1745394780982,1745394781055,63760815,0,4023940
22,0,4181,2000,691,144,1745394785981,1745394786052,62343527,19388604,4076561
23,0,2425,2000,0,181,1745394790988,1745394791050,65303521,0,5074148
24,0,425,2000,0,1165,1745394795960,1745394796033,58794465,0,27011221
25,0,0,642,0,642,1745394800925,1745394800977,7074791,0,7074791
26,0,0,0,0,0,1745394805901,1745394805942,0,0,0
27,0,0,0,0,0,1745394810902,1745394810959,0,0,0
28,0,0,0,0,0,1745394815902,1745394815951,0,0,0
29,0,0,0,0,0,1745394820903,1745394820952,0,0,0
30,0,0,0,0,0,1745394825904,1745394825955,0,0,0
