Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,0,1688,847,0,1745394680898,1745394680929,8457181,4213806,0
2,0,1230,2000,0,666,1745394685913,1745394685975,15738304,0,2314908
3,0,1280,2000,706,569,1745394690907,1745394690979,14464488,4177928,3970450
4,0,1337,2000,0,224,1745394695926,1745394696004,20400468,0,891935
5,0,2187,2000,602,378,1745394700920,1745394701004,18027474,4110381,2241526
6,0,2065,2000,0,263,1745394705931,1745394705988,22925277,0,2325252
7,0,2723,2000,584,269,1745394710929,1745394711016,22214293,4507638,2244122
8,0,2329,2000,0,274,1745394715946,1745394716030,24679072,0,2610638
9,0,3014,2000,682,347,1745394720918,1745394720975,25105050,5837452,3092195
10,0,3609,2000,0,480,1745394725931,1745394726019,25297451,0,4536455
11,0,3911,2000,636,243,1745394730931,1745394730997,28091807,6020569,2181150
12,0,4056,2000,0,279,1745394735947,1745394736008,27808926,0,2791535
13,0,4659,2000,344,570,1745394740951,1745394741022,32272362,3569263,7509724
14,0,5134,2000,108,18,1745394745960,1745394746003,30795863,1657985,249464
15,0,5080,2000,131,611,1745394750948,1745394751015,35574050,1474121,8440262
16,0,6042,2000,381,392,1745394755940,1745394755993,31821342,6181656,5642911
17,0,5804,2000,0,230,1745394760954,1745394761020,40904829,0,3216515
18,0,6408,2000,533,279,1745394765934,1745394766018,34139378,9134178,4183034
19,0,4676,2000,0,366,1745394770959,1745394771039,42758982,0,6489322
20,0,3288,2000,485,258,1745394775950,1745394776023,37352307,8744655,3691442
21,0,1576,2000,0,208,1745394780953,1745394781005,45063019,0,3739455
22,0,0,1617,0,1139,1745394785923,1745394785971,27620736,0,14239111
23,0,0,740,0,740,1745394790894,1745394790923,2985666,0,2985666
24,0,0,36,0,36,1745394795874,1745394795909,175644,0,175644
25,0,0,233,0,233,1745394800881,1745394800918,1131032,0,1131032
26,0,0,0,0,0,1745394805875,1745394805928,0,0,0
27,0,0,0,0,0,1745394810874,1745394810915,0,0,0
28,0,0,0,0,0,1745394815875,1745394815922,0,0,0
29,0,0,0,0,0,1745394820873,1745394820929,0,0,0
30,0,0,0,0,0,1745394825873,1745394825926,0,0,0
