Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,1862,2000,1658,0,1745394680940,1745394680992,10103578,8352477,0
2,0,2892,2000,0,551,1745394685933,1745394686008,17308496,0,2648529
3,0,4264,2000,0,1041,1745394690939,1745394691041,23367498,0,8863903
4,0,5283,2000,1196,0,1745394695930,1745394696018,25196375,13104786,0
5,0,5910,2000,0,134,1745394700941,1745394701019,31209131,0,1341743
6,0,7078,2000,0,1014,1745394705949,1745394706032,34899333,0,14203581
7,0,7835,2000,1066,196,1745394710944,1745394711036,33961188,17972783,3304440
8,0,8013,2000,0,135,1745394715950,1745394716008,42956731,0,2157474
9,0,9298,2000,831,515,1745394720955,1745394721036,42025319,14742692,9703105
10,0,10210,2000,413,322,1745394725961,1745394726044,44534258,9392261,6279758
11,0,10875,2000,0,165,1745394730958,1745394731032,54262017,0,3299117
12,0,11342,2000,1236,53,1745394735948,1745394736026,49140799,29183741,1324360
13,0,12209,2000,0,557,1745394740953,1745394741026,54964541,0,13606257
14,0,13119,2000,702,228,1745394745948,1745394746041,58924389,17207887,5709598
15,0,13443,2000,318,106,1745394750979,1745394751054,58673473,9387421,2655650
16,0,14566,2000,0,620,1745394755964,1745394756064,65918160,0,18218511
17,0,14599,2000,661,390,1745394760962,1745394761035,62925366,20085828,11441042
18,0,15480,2000,0,80,1745394765966,1745394766058,70478298,0,2401181
19,0,13711,2000,1016,240,1745394770958,1745394771051,69554448,31784486,7691372
20,0,12067,2000,0,489,1745394775962,1745394776039,71605289,0,16690568
21,0,10562,2000,135,44,1745394780988,1745394781063,81156409,4345176,1542112
22,0,8914,2000,650,349,1745394785973,1745394786043,73613215,24155045,12187767
23,0,7199,2000,0,374,1745394790972,1745394791029,82828301,0,14221800
24,0,5199,2000,774,159,1745394795965,1745394796038,82054285,29447195,6363962
25,0,3199,2000,0,352,1745394800989,1745394801035,84835948,0,13807526
26,0,1199,2000,0,814,1745394805970,1745394805999,86679200,0,29710511
27,0,0,1199,0,1199,1745394810929,1745394810967,34064915,0,34064915
28,0,0,0,0,0,1745394815885,1745394815929,0,0,0
29,0,0,0,0,0,1745394820885,1745394820946,0,0,0
30,0,0,0,0,0,1745394825889,1745394825938,0,0,0
