Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,868,2000,1391,0,1745395130542,1745395130571,9458971,6578271,0
2,0,2295,2000,1117,449,1745395135543,1745395135575,19420627,10840205,4368841
3,0,4557,2000,649,1119,1745395140547,1745395140581,29434923,9537361,16488326
4,0,5490,2000,625,1041,1745395145548,1745395145577,33338037,8567944,20473764
5,0,6921,2000,1402,0,1745395150551,1745395150581,33253678,23310541,0
6,0,7897,2000,710,1034,1745395155546,1745395155580,43392270,13306613,25366259
7,0,9896,2000,1114,510,1745395160553,1745395160588,42955151,20669174,15309402
8,0,11780,2000,1036,623,1745395165556,1745395165590,50462472,24378193,18060224
9,0,13499,2000,709,1079,1745395170545,1745395170577,57487600,17703868,34471634
10,0,13646,2000,1362,165,1745395175555,1745395175591,53098548,34683709,6370374
11,0,15397,2000,1085,569,1745395180555,1745395180590,65429443,33015707,21885477
12,0,16683,2000,1414,104,1745395185555,1745395185584,57464578,38865762,5370543
13,0,17291,2000,549,1262,1745395190557,1745395190589,84514262,17769947,60626778
14,0,18699,2000,1340,220,1745395195554,1745395195584,80022245,50037577,13554311
15,0,19116,2000,953,714,1745395200558,1745395200586,82155339,32685929,38048284
16,0,20782,2000,1132,501,1745395205559,1745395205593,92454211,44471237,33564985
17,0,20136,2000,908,807,1745395210558,1745395210587,100853531,39513853,48869825
18,0,19236,2000,883,816,1745395215558,1745395215588,97300181,36371800,48529745
19,0,17942,2000,1051,603,1745395220561,1745395220594,108373989,48532350,43864078
20,0,16543,2000,1368,233,1745395225558,1745395225586,91091958,61039423,12313328
21,0,15314,2000,675,1093,1745395230563,1745395230591,124592031,32462024,80972614
22,0,13967,2000,1231,375,1745395235558,1745395235590,117700581,63215345,34156867
23,0,12736,2000,1054,611,1745395240565,1745395240601,115255157,52724464,45772946
24,0,11479,2000,1035,625,1745395245557,1745395245586,127165332,56907655,51563300
25,0,10292,2000,938,719,1745395250568,1745395250596,137219780,53583207,64055791
26,0,9101,2000,1127,479,1745395255570,1745395255597,124438629,64133138,37884508
27,0,8071,2000,888,833,1745395260572,1745395260608,154644108,54965311,82409369
28,0,6477,2000,0,2000,1745395265568,1745395265598,196240509,0,196240509
29,0,4855,2000,0,2000,1745395270564,1745395270596,196968091,0,196968091
30,0,3185,2000,0,2000,1745395275558,1745395275585,196874651,0,196874651
31,0,1645,2000,0,2000,1745395280566,1745395280598,192755112,0,192755112
32,0,142,2000,0,2000,1745395285576,1745395285606,213522447,0,213522447
33,0,0,282,0,282,1745395290531,1745395290561,30473011,0,30473011
34,0,0,474,0,474,1745395295544,1745395295565,53589033,0,53589033
35,0,0,455,0,455,1745395300532,1745395300560,53507564,0,53507564
36,0,0,364,0,364,1745395305527,1745395305556,41856601,0,41856601
37,0,0,496,0,496,1745395310531,1745395310559,59504291,0,59504291
38,0,0,120,0,120,1745395315523,1745395315556,14994436,0,14994436
39,0,0,477,0,477,1745395320536,1745395320565,61984018,0,61984018
40,0,0,489,0,489,1745395325533,1745395325562,62263612,0,62263612
41,0,0,467,0,467,1745395330539,1745395330569,61596501,0,61596501
42,0,0,271,0,271,1745395335529,1745395335558,37094549,0,37094549
43,0,0,392,0,392,1745395340535,1745395340568,55614853,0,55614853
44,0,0,250,0,250,1745395345531,1745395345564,36711477,0,36711477
45,0,0,0,0,0,1745395350519,1745395350556,0,0,0
46,0,0,0,0,0,1745395355519,1745395355554,0,0,0
47,0,0,0,0,0,1745395360519,1745395360546,0,0,0
48,0,0,0,0,0,1745395365519,1745395365549,0,0,0
49,0,0,0,0,0,1745395370520,1745395370542,0,0,0
50,0,0,0,0,0,1745395375520,1745395375549,0,0,0
51,0,0,0,0,0,1745395380520,1745395380553,0,0,0
