Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,2496,2000,1561,0,1745395130893,1745395130943,10196597,7958688,0
2,0,1711,2000,1153,528,1745395135893,1745395135951,20176617,11622898,5337965
3,0,1556,2000,549,1332,1745395140892,1745395140958,27459729,5873945,20098507
4,0,3062,2000,988,765,1745395145898,1745395145958,27036703,10815340,13434847
5,0,5020,2000,1518,0,1745395150900,1745395150954,17838480,13539446,0
6,0,4871,2000,911,803,1745395155900,1745395155984,35524154,12695647,18842770
7,0,7359,2000,1481,68,1745395160902,1745395160961,36591385,26626235,1836889
8,0,9543,2000,760,1020,1745395165905,1745395165964,46525874,12040682,30999578
9,0,11420,2000,1130,536,1745395170904,1745395170969,47469357,23520448,16996896
10,0,11999,2000,1551,0,1745395175911,1745395175973,39912057,31000883,0
11,0,14356,2000,723,1056,1745395180917,1745395180975,62598639,16453514,41115764
12,0,16327,2000,1546,0,1745395185905,1745395185971,55469823,42878075,0
13,0,16952,2000,816,949,1745395190911,1745395190961,79213849,24988455,46996457
14,0,18963,2000,1552,0,1745395195904,1745395195955,59318585,46031252,0
15,0,19189,2000,940,774,1745395200913,1745395200978,85322974,32584455,42824581
16,0,21255,2000,778,1019,1745395205915,1745395205965,97314632,30097707,59339484
17,0,20394,2000,1571,0,1745395210908,1745395210958,73117444,57433706,0
18,0,19005,2000,1141,488,1745395215916,1745395215965,96459570,47402795,33643519
19,0,17448,2000,1276,356,1745395220913,1745395220993,88540409,51779451,21797874
20,0,16310,2000,997,716,1745395225917,1745395225972,108972989,43351719,53141721
21,0,14731,2000,1172,420,1745395230915,1745395230995,105010212,56807463,28426973
22,0,13506,2000,1021,654,1745395235918,1745395235971,114945872,46351101,53840257
23,0,12149,2000,1272,368,1745395240915,1745395240960,112640384,64068269,30439828
24,0,10864,2000,1289,333,1745395245918,1745395245976,115633034,70919357,23851073
25,0,9576,2000,827,950,1745395250919,1745395250971,136984564,43242958,82081237
26,0,8409,2000,1538,27,1745395255920,1745395255974,115425299,88089163,2421271
27,0,6960,2000,353,1534,1745395260937,1745395261012,170688396,21991264,141657419
28,0,5321,2000,0,2000,1745395265929,1745395265971,199029051,0,199029051
29,0,3635,2000,0,2000,1745395270919,1745395270982,197711814,0,197711814
30,0,2049,2000,0,2000,1745395275936,1745395275975,192554425,0,192554425
31,0,528,2000,0,2000,1745395280930,1745395280973,206146948,0,206146948
32,0,0,528,0,528,1745395285891,1745395285934,54615985,0,54615985
33,0,0,131,0,131,1745395290877,1745395290919,14202676,0,14202676
34,0,0,494,0,494,1745395295893,1745395295955,56042797,0,56042797
35,0,0,396,0,396,1745395300898,1745395300959,46749768,0,46749768
36,0,0,362,0,362,1745395305889,1745395305946,41768071,0,41768071
37,0,0,510,0,510,1745395310895,1745395310953,61384941,0,61384941
38,0,0,114,0,114,1745395315877,1745395315937,14288363,0,14288363
39,0,0,477,0,477,1745395320886,1745395320931,62158528,0,62158528
40,0,0,499,0,499,1745395325888,1745395325938,63768468,0,63768468
41,0,0,492,0,492,1745395330893,1745395330949,65080667,0,65080667
42,0,0,255,0,255,1745395335885,1745395335943,35002509,0,35002509
43,0,0,387,0,387,1745395340887,1745395340943,55051030,0,55051030
44,0,0,265,0,265,1745395345885,1745395345942,39014306,0,39014306
45,0,0,0,0,0,1745395350873,1745395350917,0,0,0
46,0,0,0,0,0,1745395355873,1745395355928,0,0,0
47,0,0,0,0,0,1745395360873,1745395360924,0,0,0
48,0,0,0,0,0,1745395365874,1745395365930,0,0,0
49,0,0,0,0,0,1745395370875,1745395370927,0,0,0
50,0,0,0,0,0,1745395375873,1745395375920,0,0,0
51,0,0,0,0,0,1745395380874,1745395380915,0,0,0
