Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,2186,2000,1463,0,1745395130876,1745395130928,10157990,7430659,0
2,0,7177,2000,929,702,1745395135867,1745395135927,20139231,9347418,7079581
3,0,10084,2000,943,714,1745395140875,1745395140944,30141685,14199447,10777316
4,0,13763,2000,1491,0,1745395145879,1745395145932,31140443,22940081,0
5,0,16822,2000,1487,0,1745395150880,1745395150932,34000030,25278873,0
6,0,22218,2000,637,1171,1745395155876,1745395155965,53336513,14030754,35076689
7,0,23082,2000,1480,0,1745395160883,1745395160940,53971844,39939433,0
8,0,25535,2000,1376,155,1745395165884,1745395165936,65177590,43979232,6208227
9,0,27595,2000,1093,561,1745395170890,1745395170956,75474309,40413420,22267678
10,0,33658,2000,1487,0,1745395175879,1745395175932,71152416,52748752,0
11,0,35663,2000,1159,442,1745395180887,1745395180933,80505227,45096283,19884488
12,0,38570,2000,1206,354,1745395185880,1745395185943,90052307,52934796,17804686
13,0,43154,2000,1464,0,1745395190888,1745395190934,89928104,65533988,0
14,0,45052,2000,365,1442,1745395195890,1745395195946,107275590,16729352,81700272
15,0,51232,2000,1510,0,1745395200890,1745395200936,101618908,76722177,0
16,0,53076,2000,1489,0,1745395205884,1745395205912,111552392,83050659,0
17,0,52061,2000,1519,32,1745395210886,1745395210931,122088322,92332586,2463168
18,0,51049,2000,887,740,1745395215885,1745395215938,130528620,53518562,54276378
19,0,49872,2000,478,1312,1745395220887,1745395220940,140840814,29985350,97682093
20,0,48861,2000,1379,103,1745395225883,1745395225939,136450497,93372642,8003488
21,0,47487,2000,728,902,1745395230887,1745395230935,154565295,52921277,74747621
22,0,46349,2000,1288,180,1745395235892,1745395235958,140794024,89740051,13988167
23,0,45152,2000,969,676,1745395240900,1745395240957,161527035,72337008,62689146
24,0,44028,2000,1156,407,1745395245891,1745395245945,159809889,92036606,32980632
25,0,42876,2000,1486,0,1745395250901,1745395250957,164733351,122411500,0
26,0,41589,2000,1487,0,1745395255891,1745395255941,163117264,121277631,0
27,0,40481,2000,886,845,1745395260903,1745395260949,189327359,76692272,89350392
28,0,38612,2000,1075,506,1745395265896,1745395265954,191874881,98414945,55100594
29,0,36612,2000,927,698,1745395270898,1745395270966,206163346,89499582,80458490
30,0,34612,2000,1292,218,1745395275897,1745395275937,197862955,127739294,22132498
31,0,32612,2000,1468,0,1745395280904,1745395280955,196917799,144537699,0
32,0,30612,2000,424,1460,1745395285910,1745395285981,235058362,43874811,179180070
33,0,28612,2000,1479,0,1745395290898,1745395290945,216874113,160378404,0
34,0,26612,2000,1311,228,1745395295898,1745395295962,231726131,148257678,31404939
35,0,24612,2000,1076,496,1745395300901,1745395300967,231602381,118792503,65558567
36,0,22612,2000,1492,0,1745395305897,1745395305961,230740714,172132661,0
37,0,20612,2000,347,1482,1745395310902,1745395310964,273329331,41765806,210981573
38,0,18612,2000,1423,0,1745395315899,1745395315955,250669304,178351376,0
39,0,16612,2000,1512,0,1745395320895,1745395320962,245654008,185730280,0
40,0,14612,2000,1449,54,1745395325899,1745395325960,256326654,184441497,8622611
41,0,12612,2000,813,922,1745395330907,1745395330961,288235116,107545929,145634488
42,0,10612,2000,1171,384,1745395335905,1745395335960,286970912,160740106,65147319
43,0,8612,2000,772,976,1745395340904,1745395340951,305261878,109803761,159615434
44,0,6612,2000,0,2000,1745395345911,1745395345968,341213327,0,341213327
45,0,4612,2000,0,2000,1745395350902,1745395350939,337645880,0,337645880
46,0,2612,2000,0,2000,1745395355901,1745395355942,332736610,0,332736610
47,0,612,2000,0,2000,1745395360904,1745395360948,330508858,0,330508858
48,0,0,612,0,612,1745395365872,1745395365941,102344414,0,102344414
49,0,0,0,0,0,1745395370847,1745395370889,0,0,0
50,0,0,0,0,0,1745395375848,1745395375882,0,0,0
51,0,0,0,0,0,1745395380848,1745395380877,0,0,0
